#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.46%,174.93,-0.47,(-0.27%)
2,Microsoft,MSFT,6.55%,504.25,-1.48,(-0.29%)
3,Apple Inc.,AAPL,5.84%,225.13,-0.88,(-0.39%)
4,Amazon,AMZN,4.14%,222.14,-1.67,(-0.75%)
5,Meta Platforms,META,3.24%,738.14,-9.59,(-1.28%)
6,Broadcom,AVGO,2.39%,290.37,-0.81,(-0.28%)
7,Alphabet Inc. (Class A),GOOGL,2.19%,200.23,0.91,(0.46%)
8,Alphabet Inc. (Class C),GOOG,2.05%,201.13,0.94,(0.47%)
9,Berkshire Hathaway,BRK.B,1.84%,488.92,0.24,(0.05%)
10,"Tesla, Inc.",TSLA,1.80%,319.91,-4.00,(-1.23%)
11,JPMorgan Chase,JPM,1.40%,291.85,-0.39,(-0.14%)
12,Walmart,WMT,1.37%,98.01,-4.56,(-4.44%)
13,Visa Inc.,V,1.17%,344.0,0.06,(0.02%)
14,Oracle Corporation,ORCL,1.15%,233.13,-1.94,(-0.82%)
15,Lilly (Eli),LLY,1.11%,708.62,3.18,(0.45%)
16,Mastercard,MA,0.94%,591.91,-0.77,(-0.13%)
17,Netflix,NFLX,0.90%,,-5.89,(-0.49%)
18,ExxonMobil,XOM,0.82%,109.34,0.80,(0.74%)
19,Johnson & Johnson,JNJ,0.75%,179.11,0.27,(0.15%)
20,Costco,COST,0.75%,970.28,-24.29,(-2.44%)
21,Home Depot (The),HD,0.69%,397.68,-4.06,(-1.01%)
22,AbbVie,ABBV,0.65%,210.33,1.17,(0.56%)
23,Procter & Gamble,PG,0.65%,158.54,-0.97,(-0.61%)
24,Palantir Technologies,PLTR,0.65%,155.49,-0.52,(-0.33%)
25,Bank of America,BAC,0.63%,48.26,-0.09,(-0.19%)
26,Chevron Corporation,CVX,0.55%,155.59,2.37,(1.54%)
27,Coca-Cola Company (The),KO,0.53%,70.62,-0.08,(-0.11%)
28,T-Mobile US,TMUS,0.51%,259.03,0.01,(0.01%)
29,GE Aerospace,GE,0.50%,269.27,2.82,(1.06%)
30,UnitedHealth Group,UNH,0.48%,303.48,3.64,(1.21%)
31,Philip Morris International,PM,0.48%,174.5,1.65,(0.95%)
32,Cisco,CSCO,0.46%,66.99,-0.12,(-0.18%)
33,Advanced Micro Devices,AMD,0.46%,163.37,-1.83,(-1.11%)
34,Wells Fargo,WFC,0.44%,77.77,-0.39,(-0.51%)
35,Salesforce,CRM,0.41%,245.3,-1.15,(-0.47%)
36,Morgan Stanley,MS,0.40%,144.5,0.38,(0.26%)
37,Abbott Laboratories,ABT,0.40%,132.08,-0.37,(-0.28%)
38,Linde plc,LIN,0.40%,486.28,3.92,(0.81%)
39,McDonald's,MCD,0.39%,313.86,0.78,(0.25%)
40,IBM,IBM,0.39%,239.52,-3.04,(-1.25%)
