Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2005-07-01,17.2860,17.3830,17.1610,17.1890,0.0000,0.0000,"69,786,284",0
2005-07-05,17.1540,17.5230,17.1260,17.3770,0.1879,1.0932,"62,036,890",0
2005-07-06,17.3700,17.4460,17.1760,17.1820,-0.1947,-1.1205,"64,470,989",0
2005-07-07,17.0990,17.1890,17.0430,17.1470,-0.0349,-0.2031,"80,775,118",0
2005-07-08,17.1400,17.4740,17.1330,17.4530,0.3060,1.7846,"56,121,319",0
2005-07-11,17.4950,17.6550,17.4670,17.5930,0.1397,0.8004,"61,742,183",0
2005-07-12,17.5580,17.8220,17.5300,17.8150,0.2221,1.2624,"63,542,293",0
2005-07-13,17.7590,17.9120,17.7250,17.8500,0.0351,0.1970,"45,384,402",0
2005-07-14,17.9400,18.1560,17.9400,18.0650,0.2152,1.2056,"69,549,550",0
2005-07-15,18.1140,18.1560,17.9120,17.9400,-0.1248,-0.6908,"56,694,261",0
2005-07-18,17.8850,17.9400,17.7730,17.7730,-0.1671,-0.9314,"39,730,872",0
2005-07-19,17.9400,18.2600,17.9120,18.1970,0.4241,2.3862,"113,542,635",0
2005-07-20,18.0870,18.2460,18.0030,18.2190,0.0212,0.1165,"72,314,731",0
2005-07-21,18.2950,18.4200,18.2190,18.3930,0.1739,0.9545,"114,381,081",0
2005-07-22,18.0790,18.3230,17.8290,17.8640,-0.5290,-2.8762,"99,892,875",0
2005-07-25,17.8710,18.0170,17.8430,17.8710,0.0071,0.0397,"45,217,363",0
2005-07-26,17.8920,17.9050,17.7590,17.7660,-0.1042,-0.5831,"54,659,470",0
2005-07-27,17.8150,17.9470,17.7590,17.8920,0.1255,0.7064,"58,155,188",0
2005-07-28,17.9120,17.9820,17.8500,17.9120,0.0200,0.1118,"45,163,539",0
2005-07-29,17.9340,18.0870,17.8010,17.8150,-0.0970,-0.5415,"60,045,641",0
2005-08-01,17.9540,18.1210,17.9190,18.0310,0.2158,1.2113,"61,389,079",0
2005-08-02,18.0170,18.7120,17.9960,18.6500,0.6194,3.4353,"137,704,641",0
2005-08-03,18.6150,19.0810,18.5940,18.9560,0.3058,1.6397,"140,172,965",0
2005-08-04,18.8930,19.1300,18.8160,19.0050,0.0488,0.2574,"92,134,988",0
2005-08-05,18.9840,19.4360,18.9560,19.3110,0.3062,1.6112,"82,259,722",0
2005-08-08,19.3380,19.3660,18.8370,18.8720,-0.4385,-2.2707,"77,436,580",0
2005-08-09,18.9350,19.1370,18.7890,19.0260,0.1534,0.8128,"65,455,974",0
2005-08-10,19.0670,19.1300,18.6770,18.7470,-0.2786,-1.4643,"64,558,594",0
2005-08-11,18.7680,18.9900,18.7050,18.9700,0.2227,1.1879,"48,971,223",0
2005-08-12,18.8370,18.8790,18.7120,18.8160,-0.1536,-0.8097,"53,920,190",0
2005-08-15,18.8240,19.0470,18.6220,18.9280,0.1118,0.5942,"46,008,248",0
2005-08-16,18.8580,18.9360,18.6280,18.6560,-0.2718,-1.4360,"47,106,964",0
2005-08-17,18.7120,18.9420,18.6000,18.8030,0.1467,0.7863,"52,603,578",0
2005-08-18,18.7610,18.8930,18.6980,18.7120,-0.0911,-0.4845,"40,879,782",0
2005-08-19,18.7330,18.7750,18.6280,18.6420,-0.0695,-0.3714,"36,060,894",0
2005-08-22,18.6910,18.9560,18.6770,18.7750,0.1325,0.7107,"41,744,049",0
2005-08-23,18.7260,18.8870,18.6560,18.7470,-0.0278,-0.1481,"48,316,511",0
2005-08-24,18.7260,18.9490,18.6840,18.7050,-0.0422,-0.2251,"63,822,699",0
2005-08-25,18.7680,18.9000,18.7330,18.8580,0.1535,0.8206,"39,309,218",0
2005-08-26,18.8790,18.8930,18.7470,18.8160,-0.0421,-0.2232,"36,774,626",0
2005-08-29,18.7050,18.9980,18.7050,18.9420,0.1256,0.6675,"52,309,190",0
2005-08-30,18.8790,18.9980,18.8100,18.9630,0.0212,0.1119,"55,168,404",0
2005-08-31,18.9560,19.1440,18.8660,19.1030,0.1396,0.7362,"65,210,962",0
2005-09-01,19.1030,19.1100,18.9420,18.9770,-0.1255,-0.6570,"75,974,601",0
2005-09-02,18.9850,19.0270,18.8160,18.8520,-0.1255,-0.6613,"52,047,585",0
2005-09-06,18.8790,19.0400,18.8240,18.8370,-0.0143,-0.0759,"46,092,737",0
2005-09-07,18.7960,18.9150,18.7120,18.7330,-0.1044,-0.5542,"44,684,255",0
2005-09-08,18.6980,18.7540,18.5030,18.5660,-0.1673,-0.8931,"52,554,755",0
2005-09-09,18.5730,18.7120,18.5100,18.5450,-0.0211,-0.1137,"41,557,884",0
2005-09-12,18.5730,18.6630,18.5030,18.5660,0.0211,0.1138,"40,707,566",0
2005-09-13,18.5170,18.6700,18.3980,18.4750,-0.0907,-0.4885,"63,423,842",0
2005-09-14,18.5030,18.5860,18.3490,18.3560,-0.1194,-0.6463,"54,972,457",0
2005-09-15,18.3980,18.4400,18.2940,18.3290,-0.0268,-0.1460,"60,371,543",0
2005-09-16,18.3770,18.4190,18.1190,18.1890,-0.1403,-0.7655,"191,490,750",0
2005-09-19,18.2030,18.3290,18.0420,18.1400,-0.0488,-0.2683,"61,851,558",0
2005-09-20,18.1890,18.2940,17.9240,18.0280,-0.1114,-0.6141,"61,126,789",0
2005-09-21,18.0000,18.0710,17.7420,17.7840,-0.2443,-1.3551,"68,285,274",0
